Placa,Fabricação,Combustível,Planta do Veículo,Modelo,Carroceria,Chassi,Nº do Chassi,Ordem,Tipo de Veículo,Data Inclusão
KWI5768,2013,Diesel,2968,MBB O 500 M  EURO V,MASCARELLO,MERCEDES BENZ,9BM382188DB892930,E05001 ,44 BRT PADRON,23/05/14 18:37
KWI5769,2013,Diesel,2968,MBB O 500 M  EURO V,MASCARELLO,MERCEDES BENZ,9BM382188DB892657,E05002 ,44 BRT PADRON,23/05/14 18:37
LMC2665,2014,Diesel,2971,MBB O 500 MA EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM382154EB946050,E10301B,45 BRT ARTICULADO,15/08/14 11:44
LRL6989,2014,Diesel,2971,MBB O 500 MA EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM382154EB946194,E10302B,45 BRT ARTICULADO,15/08/14 11:44
KQP6779,2014,Diesel,2971,MBB O 500 MA EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM382154EB946006,E10303B,45 BRT ARTICULADO,15/08/14 11:45
LRL6971,2014,Diesel,2971,MBB O 500 MA EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM382154EB946030,E10304B,45 BRT ARTICULADO,15/08/14 11:46
KWL7764,2014,Diesel,2971,MBB O 500 MA EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM382154EB946450,E10305B,45 BRT ARTICULADO,15/08/14 11:47
KQP6773,2014,Diesel,2971,MBB O 500 MA EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM382154EB934248,E10306B,45 BRT ARTICULADO,15/08/14 11:47
KQP6781,2013,Diesel,2971,MBB O 500 MA EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM382154EB934022,E10307B,45 BRT ARTICULADO,15/08/14 11:48
KQO7822,2013,Diesel,2918,VOLVO B340 M EURO V,NEOBUS - SAN MARINO,VOLVO,9BVR9R325EE383906,E13401C,45 BRT ARTICULADO,21/07/14 13:52
LTL5480,2013,Diesel,2918,VOLVO B340 M EURO V,NEOBUS - SAN MARINO,VOLVO,9BVR9R323EE383905,E13402C,45 BRT ARTICULADO,21/07/14 13:53
LTF5447,2013,Diesel,2918,VOLVO B340 M EURO V,NEOBUS - SAN MARINO,VOLVO,9BVR9R327EE383907,E13403C,45 BRT ARTICULADO,21/07/14 13:54
KQO7823,2013,Diesel,2918,VOLVO B340 M EURO V,NEOBUS - SAN MARINO,VOLVO,9BVR9R329EE384055,E13404C,45 BRT ARTICULADO,21/07/14 13:55
LTD5409,2013,Diesel,2918,VOLVO B340 M EURO V,NEOBUS - SAN MARINO,VOLVO,9BVR9R320EE384056,E13405C,45 BRT ARTICULADO,21/07/14 13:56
LRG6479,2013,Diesel,2918,VOLVO B340 M EURO V,NEOBUS - SAN MARINO,VOLVO,9BVR9R320EE383862,E13406C,45 BRT ARTICULADO,21/07/14 13:57
KPY9732,2013,Diesel,2918,VOLVO B340 M EURO V,NEOBUS - SAN MARINO,VOLVO,9BVR9R322EE383863,E13407C,45 BRT ARTICULADO,21/07/14 13:58
KWI9730,2013,Diesel,2918,VOLVO B340 M EURO V,NEOBUS - SAN MARINO,VOLVO,9BVR9R32XEE383769,E13408C,45 BRT ARTICULADO,21/07/14 13:58
KPY9733,2013,Diesel,2918,VOLVO B340 M EURO V,NEOBUS - SAN MARINO,VOLVO,9BVR9R321EE383644,E13409C,45 BRT ARTICULADO,21/07/14 13:59
KWI9716,2013,Diesel,2918,VOLVO B340 M EURO V,NEOBUS - SAN MARINO,VOLVO,9BVR9R326EE383770,E13410C,45 BRT ARTICULADO,21/07/14 14:00
KWI9715,2013,Diesel,2918,VOLVO B340 M EURO V,NEOBUS - SAN MARINO,VOLVO,9BVR9R326EE383784,E13411C,45 BRT ARTICULADO,21/07/14 14:00
KPY9734,2013,Diesel,2918,VOLVO B340 M EURO V,NEOBUS - SAN MARINO,VOLVO,9BVR9R323EE383645,E13412C,45 BRT ARTICULADO,21/07/14 14:01
KWI9711,2013,Diesel,2918,VOLVO B340 M EURO V,NEOBUS - SAN MARINO,VOLVO,9BVR9R328EE383785,E13413C,45 BRT ARTICULADO,21/07/14 14:02
KPY9731,2013,Diesel,2918,VOLVO B340 M EURO V,NEOBUS - SAN MARINO,VOLVO,9BVR9R325EE383646,E13414C,45 BRT ARTICULADO,21/07/14 14:03
KQK7905,2013,Diesel,2918,VOLVO B340 M EURO V,NEOBUS - SAN MARINO,VOLVO,9BVR9R327EE383647,E13415C,45 BRT ARTICULADO,21/07/14 14:04
LTL5479,2013,Diesel,2918,VOLVO B340 M EURO V,NEOBUS - SAN MARINO,VOLVO,9BVR9R329EE383648,E13416C,45 BRT ARTICULADO,21/07/14 14:05
KWI9710,2013,Diesel,2918,VOLVO B340 M EURO V,NEOBUS - SAN MARINO,VOLVO,9BVR9R32XEE383786,E13417C,45 BRT ARTICULADO,21/07/14 14:06
