Placa,Fabricação,Combustível,Planta do Veículo,Modelo,Carroceria,Chassi,Nº do Chassi,Ordem,Tipo de Veículo,Data Inclusão
LMC9660,2014,Diesel,2881,MBB OF 1721 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078EB965689, B10052,31 ONBUS BASIC URB C/AR C/ELEV,14/10/14 17:29
KQR8385,2014,Diesel,2881,MBB OF 1721 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078EB965699, B10191,31 ONBUS BASIC URB C/AR C/ELEV,14/10/14 17:30
LMC8377,2014,Diesel,2977,MBB OF 1721 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078EB967360, B27184,31 ONBUS BASIC URB C/AR C/ELEV,13/10/14 16:37
KWM8402,2014,Diesel,2977,MBB OF 1721 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078EB967367, B27185,31 ONBUS BASIC URB C/AR C/ELEV,13/10/14 16:38
KWM6668,2014,Diesel,3000,MBB OF 1721 EURO V,NEOBUS - SAN MARINO,MERCEDES BENZ,9BM384078EB971642, B32565,31 ONBUS BASIC URB C/AR C/ELEV,11/11/14 11:39
KWM6667,2014,Diesel,3000,MBB OF 1721 EURO V,NEOBUS - SAN MARINO,MERCEDES BENZ,9BM384078EB970005, B32628,31 ONBUS BASIC URB C/AR C/ELEV,11/11/14 11:44
KWM6664,2014,Diesel,3000,MBB OF 1721 EURO V,NEOBUS - SAN MARINO,MERCEDES BENZ,9BM384078EB969999, B32730,31 ONBUS BASIC URB C/AR C/ELEV,06/11/14 14:40
KWM6663,2014,Diesel,3000,MBB OF 1721 EURO V,NEOBUS - SAN MARINO,MERCEDES BENZ,9BM384078EB970003, B32731,31 ONBUS BASIC URB C/AR C/ELEV,06/11/14 14:43
KWM6654,2014,Diesel,3000,MBB OF 1721 EURO V,NEOBUS - SAN MARINO,MERCEDES BENZ,9BM384078EB969421, B32732,31 ONBUS BASIC URB C/AR C/ELEV,06/11/14 14:44
KWM6661,2014,Diesel,3000,MBB OF 1721 EURO V,NEOBUS - SAN MARINO,MERCEDES BENZ,9BM384078EB970750, B32733,31 ONBUS BASIC URB C/AR C/ELEV,06/11/14 14:49
