Placa,Fabricação,Combustível,Planta do Veículo,Modelo,Carroceria,Chassi,Nº do Chassi,Ordem,Tipo de Veículo,Data Inclusão
KZM5411,2014,Diesel,3006,V W 17230 EURO V,MARCOPOLO,VOLKSWAGEN,9532G82W4FR505916, A41447,51 ONBUS BS URB C/AR C/E 2CATR,20/02/15 14:11
KQU7861,2014,Diesel,3006,V W 17230 EURO V,MARCOPOLO,VOLKSWAGEN,9532G82W6FR506307, A41448,51 ONBUS BS URB C/AR C/E 2CATR,20/02/15 14:12
KZN7942,2014,Diesel,3006,V W 17230 EURO V,MARCOPOLO,VOLKSWAGEN,9532G82W1FR505906, A41449,51 ONBUS BS URB C/AR C/E 2CATR,20/02/15 14:12
LRS8721,2014,Diesel,3006,V W 17230 EURO V,MARCOPOLO,VOLKSWAGEN,9532G82WXFR506259, A41450,51 ONBUS BS URB C/AR C/E 2CATR,20/02/15 14:13
KWP6838,2014,Diesel,3006,V W 17230 EURO V,MARCOPOLO,VOLKSWAGEN,9532G82W3FR506264, A41451,51 ONBUS BS URB C/AR C/E 2CATR,20/02/15 14:14
KWP6807,2014,Diesel,3006,V W 17230 EURO V,MARCOPOLO,VOLKSWAGEN,9532G82W3FR506118, A41452,51 ONBUS BS URB C/AR C/E 2CATR,20/02/15 14:15
KWP6808,2014,Diesel,3006,V W 17230 EURO V,MARCOPOLO,VOLKSWAGEN,9532G82W6FR505755, A41453,51 ONBUS BS URB C/AR C/E 2CATR,20/02/15 14:15
KWP6805,2014,Diesel,3006,V W 17230 EURO V,MARCOPOLO,VOLKSWAGEN,9532G82W3FR506121, A41454,51 ONBUS BS URB C/AR C/E 2CATR,20/02/15 14:16
KZM5421,2014,Diesel,3006,V W 17230 EURO V,MARCOPOLO,VOLKSWAGEN,9532G82W7FR506123, A41455,51 ONBUS BS URB C/AR C/E 2CATR,20/02/15 14:17
KWP6804,2014,Diesel,3006,V W 17230 EURO V,MARCOPOLO,VOLKSWAGEN,9532G82W6FR506128, A41456,51 ONBUS BS URB C/AR C/E 2CATR,20/02/15 14:17
KZM5416,2014,Diesel,3006,V W 17230 EURO V,MARCOPOLO,VOLKSWAGEN,9532G82W8FR505837, A41457,51 ONBUS BS URB C/AR C/E 2CATR,20/02/15 15:18
KWP6792,2014,Diesel,3006,V W 17230 EURO V,MARCOPOLO,VOLKSWAGEN,9532G82W3FR505854, A41458,51 ONBUS BS URB C/AR C/E 2CATR,20/02/15 15:34
KWP6793,2014,Diesel,3006,V W 17230 EURO V,MARCOPOLO,VOLKSWAGEN,9532G82W7FR505862, A41459,51 ONBUS BS URB C/AR C/E 2CATR,20/02/15 15:35
