Placa,Fabricação,Combustível,Planta do Veículo,Modelo,Carroceria,Chassi,Nº do Chassi,Ordem,Tipo de Veículo,Data Inclusão
LRQ4533,2014,Diesel,2991,MBB OF 1721 EURO V,MARCOPOLO,MERCEDES BENZ,9BM384065FB983013, C12025,5 ONIBUS ROD. C/ AR,09/12/14 15:45
LSZ6684,2014,Diesel,3025,MBB OF 1721 L  EURO V,NEOBUS - SAN MARINO,MERCEDES BENZ,9BM384065EB970085, C12027,5 ONIBUS ROD. C/ AR,01/04/15 10:42
KZP8875,2015,Diesel,3008,MBB OF 1721 L  EURO V,NEOBUS - SAN MARINO,MERCEDES BENZ,9BM384065FB003524, C12028,5 ONIBUS ROD. C/ AR,21/05/15 10:57
KZP8876,2015,Diesel,3008,MBB OF 1721 L  EURO V,NEOBUS - SAN MARINO,MERCEDES BENZ,9BM384065FB004006, C12030,5 ONIBUS ROD. C/ AR,21/05/15 10:59
LRY5035,2015,Diesel,3008,MBB OF 1721 L  EURO V,NEOBUS - SAN MARINO,MERCEDES BENZ,9BM384065FB004376, C12031,5 ONIBUS ROD. C/ AR,21/05/15 11:00
KQX7873,2015,Diesel,3008,MBB OF 1721 L  EURO V,NEOBUS - SAN MARINO,MERCEDES BENZ,9BM384065FB004179, C12032,5 ONIBUS ROD. C/ AR,21/05/15 11:01
KQT2745,2014,Diesel,2991,MBB OF 1721 EURO V,MARCOPOLO,MERCEDES BENZ,9BM384065FB983070, C12036,5 ONIBUS ROD. C/ AR,09/12/14 15:46
LRQ4534,2014,Diesel,2991,MBB OF 1721 EURO V,MARCOPOLO,MERCEDES BENZ,9BM384065FB983051, C12039,5 ONIBUS ROD. C/ AR,09/12/14 15:46
LRQ4538,2014,Diesel,2991,MBB OF 1721 EURO V,MARCOPOLO,MERCEDES BENZ,9BM384065FB983058, C12040,5 ONIBUS ROD. C/ AR,09/12/14 15:48
LRQ4532,2014,Diesel,2991,MBB OF 1721 EURO V,MARCOPOLO,MERCEDES BENZ,9BM384065FB983206, C12042,5 ONIBUS ROD. C/ AR,09/12/14 15:49
LRQ4531,2014,Diesel,2991,MBB OF 1721 EURO V,MARCOPOLO,MERCEDES BENZ,9BM384065FB983220, C12043,5 ONIBUS ROD. C/ AR,09/12/14 15:50
LRQ4530,2014,Diesel,2991,MBB OF 1721 EURO V,MARCOPOLO,MERCEDES BENZ,9BM384065EB983227, C12044,5 ONIBUS ROD. C/ AR,09/12/14 14:46
LRQ4529,2014,Diesel,2991,MBB OF 1721 EURO V,MARCOPOLO,MERCEDES BENZ,9BM384065EB983241, C12045,5 ONIBUS ROD. C/ AR,09/12/14 14:53
LRQ4528,2014,Diesel,2991,MBB OF 1721 EURO V,MARCOPOLO,MERCEDES BENZ,9BM384065EB983248, C12046,5 ONIBUS ROD. C/ AR,09/12/14 15:01
LRQ4537,2014,Diesel,2991,MBB OF 1721 EURO V,MARCOPOLO,MERCEDES BENZ,9BM384065EB983274, C12047,5 ONIBUS ROD. C/ AR,09/12/14 14:54
LRQ4535,2014,Diesel,2991,MBB OF 1721 EURO V,MARCOPOLO,MERCEDES BENZ,9BM384065EB983417, C12048,5 ONIBUS ROD. C/ AR,09/12/14 14:55
LRQ4536,2014,Diesel,2991,MBB OF 1721 EURO V,MARCOPOLO,MERCEDES BENZ,9BM384065EB983861, C12049,5 ONIBUS ROD. C/ AR,09/12/14 14:56
LPO2370,2010,Diesel,2692,OF-1722,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078AB696634, C20007,30 ONBUS BASIC URB S/AR C/ELEV,29/01/15 10:21
LLC2637,2010,Diesel,2692,OF-1722,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078AB696652, C20018,30 ONBUS BASIC URB S/AR C/ELEV,29/01/15 10:23
KNW6483,2010,Diesel,2692,OF-1722,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078AB701036, C20025,30 ONBUS BASIC URB S/AR C/ELEV,29/01/15 10:24
KWV3544,2010,Diesel,2692,OF-1722,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078AB696676, C20035,30 ONBUS BASIC URB S/AR C/ELEV,29/01/15 10:35
LLC2642,2010,Diesel,2692,OF-1722,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078AB701054, C20057,30 ONBUS BASIC URB S/AR C/ELEV,29/01/15 10:28
KNW6484,2010,Diesel,2692,OF-1722,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078AB701044, C20071,30 ONBUS BASIC URB S/AR C/ELEV,29/01/15 10:30
LPO2367,2010,Diesel,2692,OF-1722,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078AB696725, C20086,30 ONBUS BASIC URB S/AR C/ELEV,29/01/15 10:33
LLC2646,2010,Diesel,2692,OF-1722,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078AB701026, C20093,30 ONBUS BASIC URB S/AR C/ELEV,29/01/15 10:34
LRS9048,2014,Diesel,3015,B270F   EURO V,MARCOPOLO,VOLVO,9BVT5T725FE403193, C22036,51 ONBUS BS URB C/AR C/E 2CATR,13/05/15 19:08
KQU7173,2014,Diesel,3015,B270F   EURO V,MARCOPOLO,VOLVO,9BVT5T727FE403194, C22037,51 ONBUS BS URB C/AR C/E 2CATR,13/05/15 19:09
LME1261,2014,Diesel,3015,B270F   EURO V,MARCOPOLO,VOLVO,9BVT5T729FE403195, C22038,51 ONBUS BS URB C/AR C/E 2CATR,13/05/15 19:10
KXO9036,2014,Diesel,3015,B270F   EURO V,MARCOPOLO,VOLVO,9BVT5T727FE403196, C22039,51 ONBUS BS URB C/AR C/E 2CATR,13/05/15 19:11
LRS9042,2014,Diesel,3015,B270F   EURO V,MARCOPOLO,VOLVO,9BVT5T720FE403201, C22040,51 ONBUS BS URB C/AR C/E 2CATR,13/05/15 19:12
LSB6929,2014,Diesel,3015,B270F   EURO V,MARCOPOLO,VOLVO,9BVT5T722FE403202, C22041,51 ONBUS BS URB C/AR C/E 2CATR,13/05/15 19:13
LME2132,2014,Diesel,3015,B270F   EURO V,MARCOPOLO,VOLVO,9BVT5T724FE403203, C22042,51 ONBUS BS URB C/AR C/E 2CATR,13/05/15 19:15
LME2338,2014,Diesel,3015,B270F   EURO V,MARCOPOLO,VOLVO,9BVT5T729FE403214, C22043,51 ONBUS BS URB C/AR C/E 2CATR,13/05/15 19:16
LRS9623,2014,Diesel,3015,B270F   EURO V,MARCOPOLO,VOLVO,9BV15T720FE403215, C22044,51 ONBUS BS URB C/AR C/E 2CATR,13/05/15 18:35
KQU8355,2014,Diesel,3015,B270F   EURO V,MARCOPOLO,VOLVO,9BV15T722FE403216, C22045,51 ONBUS BS URB C/AR C/E 2CATR,13/05/15 18:36
KWQ6327,2014,Diesel,3015,B270F   EURO V,MARCOPOLO,VOLVO,9BV15T720FE403232, C22046,51 ONBUS BS URB C/AR C/E 2CATR,13/05/15 18:37
KZP8874,2015,Diesel,3013,MBB OF 1721 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078FB005324, C27186,31 ONBUS BASIC URB C/AR C/ELEV,22/05/15 12:16
LRY5036,2015,Diesel,2949,MBB OF 1721 EURO V,NEOBUS - SAN MARINO,MERCEDES BENZ,9BM384065FB006326, C30330,51 ONBUS BS URB C/AR C/E 2CATR,12/06/15 14:45
LRY5038,2015,Diesel,2949,MBB OF 1721 EURO V,NEOBUS - SAN MARINO,MERCEDES BENZ,9BM384065FB006338, C30331,51 ONBUS BS URB C/AR C/E 2CATR,12/06/15 14:46
LRY5039,2015,Diesel,2949,MBB OF 1721 EURO V,NEOBUS - SAN MARINO,MERCEDES BENZ,9BM384065FB006461, C30332,51 ONBUS BS URB C/AR C/E 2CATR,12/06/15 14:47
KQX7876,2015,Diesel,2949,MBB OF 1721 EURO V,NEOBUS - SAN MARINO,MERCEDES BENZ,9BM384065FB006350, C30333,51 ONBUS BS URB C/AR C/E 2CATR,12/06/15 14:48
KQX7874,2015,Diesel,2949,MBB OF 1721 EURO V,NEOBUS - SAN MARINO,MERCEDES BENZ,9BM384065FB004362, C30334,51 ONBUS BS URB C/AR C/E 2CATR,12/06/15 14:49
LRY5040,2015,Diesel,2949,MBB OF 1721 EURO V,NEOBUS - SAN MARINO,MERCEDES BENZ,9BM384065FB006667, C30335,51 ONBUS BS URB C/AR C/E 2CATR,09/06/15 10:33
LRY5037,2015,Diesel,2949,MBB OF 1721 EURO V,NEOBUS - SAN MARINO,MERCEDES BENZ,9BM384065FB004226, C30336,51 ONBUS BS URB C/AR C/E 2CATR,09/06/15 10:34
LRY5041,2015,Diesel,2949,MBB OF 1721 EURO V,NEOBUS - SAN MARINO,MERCEDES BENZ,9BM384065FB006637, C30337,51 ONBUS BS URB C/AR C/E 2CATR,09/06/15 10:35
KQX7877,2015,Diesel,2949,MBB OF 1721 EURO V,NEOBUS - SAN MARINO,MERCEDES BENZ,9BM384065FB004162, C30338,51 ONBUS BS URB C/AR C/E 2CATR,09/06/15 10:37
KWP6824,2014,Diesel,3012,V W 17230 EURO V,MARCOPOLO,VOLKSWAGEN,9532G82W8ER433925, C41842,5 ONIBUS ROD. C/ AR,12/01/15 16:56
KWP6839,2014,Diesel,3012,V W 17230 EURO V,MARCOPOLO,VOLKSWAGEN,9532G82WXER433960, C41843,5 ONIBUS ROD. C/ AR,12/01/15 16:57
KWP6825,2014,Diesel,3012,V W 17230 EURO V,MARCOPOLO,VOLKSWAGEN,9532G82WXER434624, C41844,5 ONIBUS ROD. C/ AR,12/01/15 16:58
KWP6826,2014,Diesel,3012,V W 17230 EURO V,MARCOPOLO,VOLKSWAGEN,9532G82W7ER434127, C41845,5 ONIBUS ROD. C/ AR,12/01/15 16:59
KWP6827,2014,Diesel,3012,V W 17230 EURO V,MARCOPOLO,VOLKSWAGEN,9532G82W4ER436370, C41847,5 ONIBUS ROD. C/ AR,12/01/15 17:00
KWP6828,2014,Diesel,3012,V W 17230 EURO V,MARCOPOLO,VOLKSWAGEN,9532G82W7ER435262, C41848,5 ONIBUS ROD. C/ AR,12/01/15 17:04
KWP6829,2014,Diesel,3012,V W 17230 EURO V,MARCOPOLO,VOLKSWAGEN,9532G82W1ER436004, C41849,5 ONIBUS ROD. C/ AR,12/01/15 17:06
KWP6830,2014,Diesel,3012,V W 17230 EURO V,MARCOPOLO,VOLKSWAGEN,9532G82W1ER441008, C41850,5 ONIBUS ROD. C/ AR,12/01/15 17:06
KWP6831,2014,Diesel,3012,V W 17230 EURO V,MARCOPOLO,VOLKSWAGEN,9532G82W5ER441089, C41852,5 ONIBUS ROD. C/ AR,12/01/15 17:08
KWP6832,2014,Diesel,3012,V W 17230 EURO V,MARCOPOLO,VOLKSWAGEN,9532G82W7ER441093, C41853,5 ONIBUS ROD. C/ AR,12/01/15 17:09
KWP6833,2014,Diesel,3012,V W 17230 EURO V,MARCOPOLO,VOLKSWAGEN,9532G82W1ER434513, C41854,5 ONIBUS ROD. C/ AR,12/01/15 17:10
KWP6834,2014,Diesel,3012,V W 17230 EURO V,MARCOPOLO,VOLKSWAGEN,9532G82W2ER441261, C41855,5 ONIBUS ROD. C/ AR,12/01/15 17:11
KWP6835,2014,Diesel,3012,V W 17230 EURO V,MARCOPOLO,VOLKSWAGEN,9532G82WXER441086, C41888,5 ONIBUS ROD. C/ AR,02/03/15 12:21
LMD5678,2014,Diesel,2949,MBB OF 1721 EURO V,NEOBUS - SAN MARINO,MERCEDES BENZ,9BM384065FB979738, C47462,51 ONBUS BS URB C/AR C/E 2CATR,05/12/14 15:43
LRQ5829,2014,Diesel,2949,MBB OF 1721 EURO V,NEOBUS - SAN MARINO,MERCEDES BENZ,9BM384065FB979690, C47463,51 ONBUS BS URB C/AR C/E 2CATR,05/12/14 15:44
